IDS,SEXES,VIDEOS,PHOTOS,GIFTS,AUDIOS,FRIENDS,FOLLOWERS
13543,1,23,588,14,97,215,269
13566,1,1,1,1,0,10,14
13571,1,48,414,14,15,156,350
13596,2,0,53,22,22,94,30
13663,2,70,3,210,244,202,1901
13687,2,263,843,6,249,1524,2618
13689,2,2,519,3,3,174,79
13690,1,51,100,29,409,386,472
13753,1,12,226,19,197,306,285
13818,1,0,197,14,0,131,1623
13843,1,40,317,59,298,218,163
13848,2,0,0,0,0,0,1
13849,1,239,313,27,172,234,644
13874,2,0,0,0,0,0,3
13875,2,0,0,0,0,0,8
13877,2,1765,337,21,3043,1501,451
13881,1,5,115,0,0,34,93
13900,2,1,2,3,273,222,74
13904,2,18,3,4,277,156,112
13966,1,32,1304,23,420,145,598
13967,2,1,5,0,0,28,3
13976,2,2,21,0,5,46,4469
13977,1,34,2910,77,179,8703,4951
13978,2,17,9,9,40,944,371
13979,2,0,303,6,87,131,119
13981,2,0,0,1,0,145,24
14004,1,0,11,18,0,164,203
14005,1,0,0,0,0,4,3
14006,1,67,619,46,392,517,2228
14007,1,43,1182,60,0,4772,850
14008,2,108,167,0,76,106,8162
14011,2,103,1109,27,207,545,540
14037,2,2,1113,6,96,118,14
14069,2,0,1015,2,15,127,32
14070,2,38,170,14,18,317,155
14075,1,75,2381,35,292,942,1529
14103,1,45,311,25,80,601,208
14135,2,2,1,3,0,84,25
14140,2,0,92,0,0,113,16
14163,2,645,1217,21,381,3804,7029
14166,2,0,0,0,0,0,3
14168,2,0,23,0,0,343,356
14194,1,317,564,37,940,1015,945
14202,2,0,3,0,0,116,9
14211,2,2,3,11,0,219,54
14214,2,45,53,16,24,277,244
14244,1,0,0,0,0,12,37
14246,2,30,50,13,65,347,67
14247,2,86,2,7,29,325,273
14334,1,1,61,3,0,258,244
14365,1,51,36,26,437,313,596
14397,2,0,145,1,0,53,15
14427,1,41,344,29,3365,340,3
14435,2,0,0,0,0,0,4
14457,2,5,0,1,5,1,10
14490,2,0,0,0,0,0,3
14492,2,90,343,15,121,489,357
14519,1,0,0,0,0,0,1
14551,1,106,798,21,979,923,2662
14552,2,34,140,2,204,119,79
14583,2,19,0,0,0,78,20
14589,1,0,0,0,0,0,7
14600,2,0,0,0,0,170,100
14605,2,52,1654,164,888,778,957
14630,1,34,44,33,141,159,593
14631,2,51,457,7,270,317,271
14632,2,0,0,0,0,0,0
14634,1,77,1124,33,218,928,1597
14653,1,1,0,1,0,67,86
14686,1,25,177,96,56,319,505
14687,2,0,0,0,0,0,3
14693,2,87,392,21,0,280,156
14717,2,91,916,7,87,218,100
14718,2,20,1751,2,0,644,225
14719,2,36,408,133,69,89,141
14720,2,0,0,0,159,59,2
14746,1,62,56,4,569,343,288
14781,1,426,27,29,2118,799,4938
14810,1,1,1,15,0,146,93
14846,2,4,44,3,124,201,143
14873,2,4,7,0,8,52,135
14874,2,0,0,0,0,81,17
14878,2,175,863,97,209,2737,532
14879,2,235,92,4,324,318,292
14881,1,0,0,0,0,0,7
14907,1,2,126,42,56,220,206
14910,1,16,180,392,0,664,8163
14911,2,84,138,8,482,735,1135
14943,2,0,0,0,0,2,0
14969,2,2,1,1,0,8,30
14973,2,0,0,0,0,0,3
14975,2,43,23,51,1,170,270
15001,1,3,70,2,0,118,218
15036,2,67,91,6,342,323,114
15070,2,19,32,15,366,242,344
15102,2,0,208,0,1,112,106
15133,1,6,32,0,242,206,152
15167,2,38,56,27,0,239,169
15196,1,10,14,18,712,317,402
15198,2,517,580,11,732,170,477
15199,2,0,2,1,0,27,24
15201,1,6,117,3,53,190,248
15225,1,21,527,28,289,239,994
15228,1,48,485,75,0,581,526
15231,1,3,402,14,0,232,802
15233,1,40,777,5,6,324,179
15256,2,21,702,15,0,349,315
15258,1,19,589,13,121,375,150
15262,1,371,339,76,468,945,1285
15289,2,315,488,53,311,5816,522
15358,1,148,82,54,0,383,1450
15359,1,14,27,14,341,167,229
15376,2,211,482,19,226,3266,412
15433,2,48,1091,34,64,92,243
15434,1,4,111,14,0,336,490
15436,2,1,144,5,93,407,51
15438,2,0,0,0,0,1,7
15460,2,0,3,18,24,685,575
15504,1,14,29,26,0,279,824
15506,1,0,1,1,0,125,24
15535,1,15,30,23,0,54,468
15562,2,0,0,0,0,45,18
15563,2,11,31,1,33,318,202
15565,2,8,5,5,209,145,121
15586,2,0,114,12,264,1052,154
15590,1,3,263,3,317,216,95
15607,2,8,553,2,708,334,47
15609,1,350,1746,60,0,707,2681
15612,1,60,614,7,269,261,349
15613,2,258,128,8,348,141,532
15614,2,15,44,0,37,235,40
15631,2,76,6,22,0,661,394
15635,1,1,13,9,0,224,867
15660,1,156,203,35,110,245,2479
15662,2,102,153,32,713,474,571
15663,2,5,22,0,14,228,3004
15665,2,79,1736,6,855,817,381
15689,2,0,0,0,0,0,6
15690,1,7,184,5,5,241,844
15693,2,6,38,13,0,532,228
15696,1,653,1302,35,2726,559,7864
15726,1,56,31,6,1231,172,213
15756,1,225,1702,54,557,443,809
15758,2,71,754,26,577,674,113
15759,1,149,2147,46,374,638,1857
15772,2,86,108,10,393,306,112
15773,2,44,1553,5,293,167,169
15774,2,104,182,6,428,147,34
15806,1,1,0,1,0,340,154
15897,1,2,23,3,203,76,213
15929,2,0,0,0,4,2,1
15936,2,928,8299,81,152,1291,2079
15965,1,1,111,2,0,207,137
15969,2,71,1141,96,320,771,343
15994,1,146,271,11,926,419,1136
16000,2,10,228,16,44,421,220
16026,1,40,182,6,263,516,383
16058,1,7,248,11,10,215,247
16059,1,25,10,196,0,598,4712
16090,2,162,131,8,0,472,197
16093,2,10,195,15,200,130,42
16094,2,216,318,18,320,39,518
16121,1,57,63,15,159,210,1058
16128,1,40,61,30,452,139,147
16179,2,32,208,102,397,1205,83578
16207,2,0,30,1,16,74,39
16208,2,0,0,0,0,0,9
16264,1,0,0,0,0,0,21
16271,1,0,0,0,0,0,8
16295,1,98,190,20,233,549,1893
16301,2,0,48,8,33,152,401
16302,2,4,16,0,216,245,249
16327,1,47,3,14,0,218,247
16328,2,13,351,4,0,562,262
16331,2,5,13,0,37,103,16
16365,2,5,27,3,1,467,143
16396,2,5,10,1,18,84,138
16397,2,3,0,1,24,69,51
16399,2,0,0,1,0,0,6
16400,2,198,163,0,38,235,200
16463,1,35,127,24,523,190,239
16464,2,0,16,10,277,258,125
16466,1,50,34,16,0,248,1205
16499,2,12,3771,7,0,611,284
16537,2,7,3,0,6,75,6
16570,2,0,6,2,0,90,24
16603,2,107,3407,16,106,1613,978
16634,2,37,110,5,98,717,4097
16635,2,115,497,12,1142,131,305
16664,2,0,2,0,0,4,47
16670,2,52,67,2,596,278,124
16691,2,293,420,30,1759,868,485
16692,2,0,1,2,1,79,12
16694,1,59,3697,48,0,835,839
16696,2,46,377,4,104,238,511
16697,1,56,484,8,216,260,390
16720,1,160,204,6,133,571,640
16724,2,1,0,10,5,58,53
16749,1,3,334,0,0,131,100
16751,1,24,109,30,0,160,462
16753,2,2,31,4,17,106,1010
16817,2,2,0,0,18,7,8
16818,2,20,1180,66,148,94,134
16845,2,0,0,0,0,5,4
16848,2,86,5,24,112,190,61
16880,2,28,23,5,124,97,114
16881,2,215,577,4,382,146,480
16883,2,18,6,1,7,10,0
16917,2,8,119,10,106,336,169
16949,1,3,9,2,41,100,121
17011,1,0,39,10,14,134,102
17012,2,2,3,1,114,139,79
17013,2,3616,628,8,838,911,1424
17032,1,6,3,0,190,158,67
17035,2,161,290,10,298,541,280
17036,1,0,0,1,0,16,15
17037,1,126,10,0,4,48,22
17064,2,159,1110,14,459,337,280
17065,1,5,226,2,8,91,173
17066,2,86,246,23,839,553,225
17069,1,33,220,17,477,420,2090
17070,1,1,19,2,0,299,75
17072,1,0,1,0,26,25,27
17102,2,4,3,2,1,212,159
17132,1,0,0,0,0,224,148
17133,2,3,367,2,0,199,93
17137,1,2,3,1,1,42,17
17163,1,234,357,63,691,499,5663
17166,1,329,907,31,1529,675,1755
17167,2,5,11,23,49,409,118
17199,1,104,1085,40,703,318,349
17223,1,31,238,41,0,304,373
17225,1,2,22,2,27,16,34
17227,1,7,22,3,1,60,42
17256,1,200,159,18,421,384,872
17260,1,23,86,5,83,237,564
17289,1,174,714,31,723,992,957
17290,2,0,0,0,0,0,20
17292,1,0,0,0,0,30,31
17319,1,31,1078,41,217,221,2611
17326,1,45,2531,19,334,954,1482
17386,1,34,125,12,311,108,1811
17388,2,116,71,26,228,405,186
17390,2,168,41,20,379,886,874
17453,1,15,207,21,15,343,224
17456,2,5,6,16,117,440,154
17457,2,69,83,9,175,251,514
17485,2,2,66,2,0,206,186
17487,1,34,299,4,0,169,331
17551,2,35,202,4,88,161,267
17556,2,140,173,1,272,1049,449
17559,1,308,3625,160,2418,884,975
17587,2,47,76,57,269,863,180
17595,1,2,106,10,0,270,133
17597,1,1,1,7,0,0,125
17606,1,0,2,2,0,64,37
17607,2,7,6,1,0,100,19
17658,1,3,133,2,0,268,145
17664,1,50,3766,4,500,332,199
17690,1,12,1773,16,0,489,373
17691,2,94,1447,14,430,669,263
17693,1,179,5400,13,288,260,564
17695,2,5,1,4,1,386,137
17696,2,0,0,0,0,0,3
17725,1,14,236,10,3,269,191
17753,2,312,1100,5,651,293,174
17754,2,47,8,11,0,215,194
17755,2,0,240,5,4,111,18
17756,1,1,1533,34,0,104,298
17783,1,0,29,7,580,427,440
17786,1,771,1154,31,0,691,673
17807,2,2,143,53,0,115,233
17808,1,13,1028,9,158,392,822
17813,1,119,11,20,0,394,701
17843,2,23,817,4,58,180,330
17902,2,31,123,16,567,483,285
17905,2,385,1794,26,948,3652,1284
17937,1,4,179,11,2,106,128
17938,2,1,168,6,109,408,118
18000,2,6,13,15,13,229,104
18001,1,0,0,0,0,0,7
18002,1,3,32,8,0,277,639
18004,2,13,19,0,12,218,67
18006,1,0,8,0,3,84,95
18007,2,67,1597,115,19,446,985
18021,1,0,0,0,0,1,3
18022,1,33,275,7,0,839,1444
18024,1,0,7,1,0,60,147
18025,1,0,0,0,0,0,5
18026,2,116,354,13,119,334,273
18027,2,17,128,2,22,147,218
18050,2,0,0,0,0,122,13
18054,1,0,0,0,0,0,0
18058,2,6,2,10,273,425,474
18080,2,1,0,0,0,39,16
18084,2,0,0,0,0,0,6
18085,1,37,9,13,0,66,192
18114,1,4,334,0,1,115,180
18116,2,19,699,12,36,129,351
18118,2,103,353,10,564,166,1262
18145,1,8,24,33,186,463,605
18177,2,0,2,2,0,132,48
18178,2,66,29,27,283,846,10383
18180,1,0,0,3,1,73,59
18181,1,44,1419,96,773,4194,11226
18182,2,2,310,8,0,238,178
18183,1,1,1,3,0,89,123
18185,2,46,35,16,54,919,1572
18202,2,0,0,0,0,29,8
18235,2,7,4,4,27,386,150
18237,1,9,165,5,49,58,554
18238,2,0,0,0,0,29,33
18240,2,119,276,14,210,244,198
18270,1,27,1,3,25,218,79
18274,2,4,22,602,0,5,933
18277,1,58,193,21,325,287,192
18297,1,43,17,26,620,203,990
18298,2,0,1,12,0,114,17
18302,2,2,117,9,0,60,93
18303,1,59,34,2,51,85,55
18329,1,0,0,4,25,146,192
18335,2,0,26,0,0,11,14
18361,1,0,0,0,0,0,9
18363,2,57,0,0,506,22,173
18365,2,105,50,15,204,272,120
18386,1,33,1713,13,417,497,716
18388,2,44,2646,6,16,25,74
18390,2,1,71,2,0,53,31
18411,1,0,1,4,0,124,46
18445,1,7,75,4,158,457,931
18446,1,66,1135,13,141,810,1509
18447,2,36,539,10,1453,587,562
18448,2,279,811,97,364,1573,2755
18449,1,5,182,2,0,254,477
18475,2,0,0,0,0,0,0
18477,1,92,40,1,754,105,337
18501,1,2,70,20,446,655,1365
18508,1,26,510,15,48,471,389
18509,1,59,725,5,0,11,300
18529,2,89,205,3,0,535,569
18530,2,85,5,17,513,1248,1017
18531,2,0,0,0,0,0,7
18591,1,165,48,12,435,242,537
18624,2,9,157,3,703,182,119
18627,1,30,1243,22,222,359,553
18655,1,17,0,2,0,108,225
18656,1,82,21,12,717,61,430
18658,2,53,17,77,0,902,972
18684,2,1,0,0,0,101,18
18687,2,160,852,15,3868,941,622
18691,2,129,1738,46,681,376,251
18716,1,48,723,26,0,1336,1702
18721,1,0,0,0,0,36,76
18723,1,43,337,15,408,137,333
18819,1,0,24,0,0,29,8
18821,1,5,17,3,1,356,177
18880,1,38,201,3,0,163,105
18884,1,100,1311,6,986,122,324
18887,2,42,286,7,66,203,107
18912,2,112,48,8,0,133,109
18949,1,28,26,4,330,329,358
18955,1,123,2392,27,306,286,1590
18956,1,10,2335,6,256,393,196
18989,2,35,343,5,9,481,177
19016,2,0,0,0,0,23,103
19020,1,395,90,21,418,182,290
19046,2,59,14,7,0,185,288
19048,2,25,342,12,38,445,226
19053,2,91,68,5,226,403,351
19081,2,11,77,8,0,254,210
19083,1,77,282,18,760,189,488
19088,2,96,499,49,128,809,503
19108,2,0,0,1,0,332,49
19110,2,183,1664,19,564,256,537
19139,2,7,323,10,0,203,71
19145,2,0,0,0,0,12,12
19175,2,280,284,8,4042,201,212
19177,2,116,687,33,0,241,192
19178,1,15,308,1,701,183,88
19204,1,112,735,22,130,259,1017
19235,1,0,0,0,0,0,1
19267,1,581,587,67,3025,879,1403
19293,2,223,166,28,0,1027,286
19295,1,153,174,81,343,654,1570
19298,1,13,104,1,13,40,338
19355,2,0,0,0,0,0,0
19388,1,230,799,24,659,1023,1459
19394,1,378,700,21,0,2414,1518
19452,1,770,1598,11,1669,489,508
19458,1,128,84,10,380,779,345
19519,1,275,736,14,687,195,727
19524,2,13,35,0,25,107,39
19525,2,22,64,1,41,65,335
19551,2,134,150,7,527,185,170
19552,1,12,71,40,0,246,381
19557,2,39,16,30,0,5,173
19558,1,2,26,7,0,271,395
19582,1,35,215,20,760,819,1042
19586,2,3,7,9,2,777,161
19587,1,7,182,7,184,117,229
19617,2,3,0,2,0,127,5
19618,2,112,3756,488,938,328,804
19652,2,64,0,0,0,75,12
19684,1,3,205,22,2,94,151
19685,1,64,2,4,815,141,116
19688,1,51,194,5,685,275,670
19713,1,574,24989,24,587,1092,1000
19750,1,12,323,21,60,83,339
19782,2,1197,14,35,1767,353,1075
19783,1,81,1997,72,983,200,1132
19785,2,0,0,0,0,1,15
19817,1,54,19,22,98,347,1018
19848,2,361,1663,15,742,770,390
19874,2,17,136,8,349,200,62
19875,1,7,94,2,17,270,247
19908,1,5,2,7,57,258,83
19910,2,0,0,0,0,0,3
19912,1,10,6,8,2,106,86
19913,2,0,133,6,3,418,78
19942,2,26,17,1,30,231,146
19975,2,0,0,0,0,0,1
19981,2,15,7,15,0,273,183
20044,1,41,46,8,157,376,333
20045,2,69,6,18,1383,180,379
20046,1,123,16,12,651,701,2032
20070,1,0,0,2,0,0,499
20072,1,9,120,33,0,332,6085
20073,2,133,1595,5,142,375,280
20101,1,0,1,0,0,0,187
20106,2,40,51,9,385,366,204
20108,2,1,15,2,1,187,102
20134,2,16,25,16,0,658,669
20135,2,39,1312,21,79,1896,469
20138,1,11,1120,8,242,709,441
20170,1,28,81,3,131,119,182
20171,1,0,0,0,0,0,1
20173,1,8,1141,14,109,304,1070
20199,1,5,0,3,54,160,178
20201,1,0,0,0,0,1,25
20268,1,0,0,0,0,0,5
20302,1,111,5985,12,196,5067,4778
20331,1,4,57,15,62,312,364
20332,1,21,23,3,20,84,94
20338,2,263,159,18,0,3434,836
20365,2,692,133,12,0,433,514
20366,1,72,59,3,114,118,121
20390,2,6,22,4,24,125,2
20392,1,1,7,10,301,256,196
20426,1,82,889,44,0,924,1035
20457,2,99,122,9,319,369,337
20459,2,114,16,10,115,111,307
20460,2,14,1024,0,581,310,70
20523,2,16,350,20,851,255,59
20527,1,7,10,3,0,141,78
20528,2,12,686,10,339,169,117
20555,1,281,332,8,990,372,532
20559,1,0,0,0,0,0,1
20562,2,24,18,3,138,105,37
20585,2,0,470,11,0,360,120
20620,2,0,0,0,0,0,0
20621,1,33,5,142,0,3742,2153
20685,2,0,0,0,0,1,1
20686,2,12,10,9,114,245,105
20718,2,36,196,3,319,431,175
20719,1,0,0,0,0,0,5
20721,1,59,65,11,12,198,105
20723,2,0,5,6,14,121,18
20753,2,1,2,7,84,56,28
20754,1,69,54,14,1318,168,619
20778,2,8,0,5,0,265,75
20779,1,2,41,21,24,800,525
20781,1,24,109,92,409,287,3068
20785,2,45,86,5,467,175,170
20813,2,2,11243,4,2,154,120
20816,1,194,176,58,250,404,1299
20848,2,103,1267,18,375,196,74
20910,2,0,17,1,101,271,41
20945,1,48,67,9,577,254,393
20971,2,70,531,24,347,512,249
20972,2,65,1021,8,134,359,695
20974,1,2,12,1,0,550,297
21001,1,1,181,5,0,187,152
21002,1,209,307,24,217,341,506
21004,2,2,23,2,30,271,197
21007,2,238,15068,329,325,101,65
21008,1,1,0,0,0,0,6
21029,1,8,85,5,0,303,115
21032,2,61,570,19,109,505,257
21093,2,0,10,4,0,65,45
21118,2,87,262,21,157,258,779
21121,2,5,379,2,0,83,56
21153,2,50,39,5,262,257,231
21156,1,28,207,2,0,164,146
21158,2,99,42,2,174,123,56
21159,2,41,516,14,216,430,306
21174,1,107,100,16,518,107,246
21176,1,1,125,0,0,160,8
21177,2,4,109,0,48,60,55
21207,1,63,74,15,148,282,320
21211,2,1,0,0,0,9,11
21243,1,94,745,20,160,265,338
21305,1,47,970,17,380,423,705
21307,1,400,3187,51,746,1809,3075
21334,2,48,419,13,0,201,36
21335,2,73,53,5,84,50,147
21338,2,0,0,0,0,1,20
21342,1,44,130,4,264,320,150
21363,1,62,16,91,0,256,533
21364,1,0,0,0,0,1,10
21367,1,99,261,20,0,296,910
21368,1,165,646,21,0,453,1046
21371,2,319,197,27,767,139,164
21396,2,2,66,9,101,150,56
21398,2,11,12,2,153,294,138
21404,2,100,529,12,754,266,57
21433,1,28,1639,16,193,227,1128
21464,1,0,3,7,111,195,840
21465,2,77,232,2,507,505,144
21467,1,118,61,25,1220,236,607
21499,2,890,2045,6,302,890,9
21526,1,66,682,69,225,464,547
21530,1,75,2923,39,305,700,1166
21534,2,0,0,0,0,9,6
21561,2,0,0,0,0,1,11
21562,2,161,39,2,232,165,317
21564,1,55,896,1,642,262,569
21592,1,205,684,15,0,202,791
21595,2,13,289,2,44,165,190
21597,1,147,161,13,65,204,369
21600,1,6,35,9,9,101,208
21627,1,182,4344,55,826,2019,1257
21632,2,0,0,0,0,70,7
21633,1,71,9,37,186,326,345
21655,1,52,859,20,0,226,463
21656,1,42,147,18,9,226,967
21659,2,15,44,1,22,37,1100
21688,2,0,40,1,0,180,38
21713,2,0,0,0,0,3,8
21731,1,0,0,4,0,0,0
21766,1,0,0,0,0,79,178
21770,2,1,2,2,18,147,16
21771,2,162,623,1,1050,699,455
21772,2,109,66,4,159,611,427
21796,2,3,44,1,0,248,288
21801,2,0,0,0,0,0,1
21828,1,21,2611,4,225,523,371
21834,1,1,6,5,0,148,188
21869,1,166,0,12,0,170,1121
21918,2,1,0,4,0,14,57
21947,2,11,14,23,465,241,276
21950,2,0,15,5,0,82,33
21952,1,268,387,30,0,864,1234
21972,1,1,9,0,20,38,30
22006,1,25,451,11,115,296,644
22008,2,0,0,0,0,0,7
22040,2,21,370,3,119,367,58
22074,1,23,399,2,137,558,939
22077,1,38,1,7,0,163,197
22138,2,4,402,5,1,34,52
22163,2,24,15,17,94,359,212
22170,1,14,60,31,133,284,671
22173,2,2,39,3,45,65,62
22176,1,213,32,5,211,255,257
22178,2,1,8,4,253,118,230
22201,2,10,331,5,34,44,63
22203,2,3,27,16,0,157,223
22205,2,0,0,0,0,0,8
22235,2,118,63,8,872,230,100
22260,1,76,8699,31,420,72,15456
22266,1,377,2689,52,0,766,5098
22287,2,0,0,0,0,0,4
22290,2,18,10,4,367,55,192
22320,2,47,100,0,0,60,310
22323,1,49,238,3,33,298,104
22327,1,13,598,12,26,286,357
22357,2,0,0,0,0,0,3
22392,1,22,2302,11,0,374,1101
22406,2,6,142,32,71,88,2455
22438,1,2,0,1,0,75,36
22440,2,6806,3804,57,0,466,385
22441,1,1,0,8,0,495,141
22469,2,15,50,6,219,165,73
22473,1,8,688,146,851,430,418
22475,1,28,415,21,120,407,526
22502,2,285,1486,15,1594,118,144
22507,1,19,1084,31,62,425,1360
22509,2,5,0,0,0,27,11
22533,1,0,145,5,0,205,429
22568,2,336,223,32,547,81,145
22571,1,0,73,0,0,247,90
22590,2,4,7,4,10,130,58
22593,2,24,11,8,0,87,1084
22624,1,64,59,2,0,168,1117
22626,1,2,36,0,9,44,46
22628,1,43,149,10,0,318,502
22686,2,37,828,5,21,152,71
22689,2,319,45,14,134,349,117
22716,1,17,70,11,133,91,270
22723,2,261,83,16,220,229,436
22747,1,46,306,18,98,601,639
22748,1,59,26,21,318,370,412
22750,2,0,0,0,0,1,15
